"","R","Count","Proportion","Group"
"1","R1",1377,0.0745452576873105,"severe"
"2","R2",4037,0.218546990038978,"severe"
"3","R3",4806,0.260177566045907,"severe"
"4","R4",4382,0.23722390645301,"severe"
"5","R5",1738,0.0940883499350368,"severe"
"6","R6",1546,0.0836942399307059,"severe"
"7","R7",375,0.0203009961022087,"severe"
"8","R8",211,0.0114226938068428,"severe"
"9","R1",2894,0.144866596586074,"mild"
"10","R2",9062,0.453621664914652,"mild"
"11","R3",4515,0.226009911398108,"mild"
"12","R4",2718,0.136056464934675,"mild"
"13","R5",141,0.00705811683435951,"mild"
"14","R6",16,0.000800921059218101,"mild"
"15","R7",563,0.0281824097712369,"mild"
"16","R8",68,0.00340391450167693,"mild"
"17","R1",4219,0.232836644591611,"post"
"18","R2",10038,0.553973509933775,"post"
"19","R3",530,0.0292494481236203,"post"
"20","R4",73,0.00402869757174393,"post"
"21","R5",2501,0.138024282560706,"post"
"22","R6",87,0.00480132450331126,"post"
"23","R7",669,0.0369205298013245,"post"
"24","R8",3,0.000165562913907285,"post"
"25","R1",482,0.127445795875198,"pbmc10k"
"26","R2",1109,0.293231094658911,"pbmc10k"
"27","R3",418,0.110523532522475,"pbmc10k"
"28","R5",32,0.00846113167636171,"pbmc10k"
"29","R7",1738,0.459545214172396,"pbmc10k"
"30","R8",3,0.000793231094658911,"pbmc10k"
