Method,Metric,Dataset,Value
raw_atac,ns(100),s1d1-s1d2,0.17
raw_atac,ns(100),s1d1-s2d1,0.17
raw_atac,ns(100),s4d8-s2d4,0.16
raw_atac,ns(100),s3d3-s4d1,0.2
raw_atac,ns(100),s2d5-s3d10,0.19
raw_atac,ns(50),s1d1-s1d2,0.11
raw_atac,ns(50),s1d1-s2d1,0.11
raw_atac,ns(50),s4d8-s2d4,0.1
raw_atac,ns(50),s3d3-s4d1,0.13
raw_atac,ns(50),s2d5-s3d10,0.12
raw_atac,ns(10),s1d1-s1d2,0.04
raw_atac,ns(10),s1d1-s2d1,0.04
raw_atac,ns(10),s4d8-s2d4,0.03
raw_atac,ns(10),s3d3-s4d1,0.04
raw_atac,ns(10),s2d5-s3d10,0.04
raw_atac,ls(100),s1d1-s1d2,0.68
raw_atac,ls(100),s1d1-s2d1,0.56
raw_atac,ls(100),s4d8-s2d4,0.67
raw_atac,ls(100),s3d3-s4d1,0.78
raw_atac,ls(100),s2d5-s3d10,0.65
raw_atac,ls(50),s1d1-s1d2,0.7
raw_atac,ls(50),s1d1-s2d1,0.6
raw_atac,ls(50),s4d8-s2d4,0.7
raw_atac,ls(50),s3d3-s4d1,0.81
raw_atac,ls(50),s2d5-s3d10,0.68
raw_atac,ls(10),s1d1-s1d2,0.74
raw_atac,ls(10),s1d1-s2d1,0.66
raw_atac,ls(10),s4d8-s2d4,0.74
raw_atac,ls(10),s3d3-s4d1,0.84
raw_atac,ls(10),s2d5-s3d10,0.73
Seurat,ns(100),s1d1-s1d2,0.28
Seurat,ns(100),s1d1-s2d1,0.38
Seurat,ns(100),s4d8-s2d4,0.32
Seurat,ns(100),s3d3-s4d1,0.28
Seurat,ns(100),s2d5-s3d10,0.3
Seurat,ns(50),s1d1-s1d2,0.23
Seurat,ns(50),s1d1-s2d1,0.3
Seurat,ns(50),s4d8-s2d4,0.23
Seurat,ns(50),s3d3-s4d1,0.19
Seurat,ns(50),s2d5-s3d10,0.22
Seurat,ns(10),s1d1-s1d2,0.12
Seurat,ns(10),s1d1-s2d1,0.15
Seurat,ns(10),s4d8-s2d4,0.09
Seurat,ns(10),s3d3-s4d1,0.07
Seurat,ns(10),s2d5-s3d10,0.09
Seurat,ls(100),s1d1-s1d2,0.71
Seurat,ls(100),s1d1-s2d1,0.79
Seurat,ls(100),s4d8-s2d4,0.8
Seurat,ls(100),s3d3-s4d1,0.77
Seurat,ls(100),s2d5-s3d10,0.74
Seurat,ls(50),s1d1-s1d2,0.75
Seurat,ls(50),s1d1-s2d1,0.84
Seurat,ls(50),s4d8-s2d4,0.84
Seurat,ls(50),s3d3-s4d1,0.8
Seurat,ls(50),s2d5-s3d10,0.8
Seurat,ls(10),s1d1-s1d2,0.79
Seurat,ls(10),s1d1-s2d1,0.87
Seurat,ls(10),s4d8-s2d4,0.87
Seurat,ls(10),s3d3-s4d1,0.82
Seurat,ls(10),s2d5-s3d10,0.84
LS_Lab,ns(100),s1d1-s1d2,0.16
LS_Lab,ns(100),s1d1-s2d1,0.26
LS_Lab,ns(100),s4d8-s2d4,0.13
LS_Lab,ns(100),s3d3-s4d1,0.15
LS_Lab,ns(100),s2d5-s3d10,0.21
LS_Lab,ns(50),s1d1-s1d2,0.12
LS_Lab,ns(50),s1d1-s2d1,0.18
LS_Lab,ns(50),s4d8-s2d4,0.09
LS_Lab,ns(50),s3d3-s4d1,0.1
LS_Lab,ns(50),s2d5-s3d10,0.13
LS_Lab,ns(10),s1d1-s1d2,0.05
LS_Lab,ns(10),s1d1-s2d1,0.07
LS_Lab,ns(10),s4d8-s2d4,0.03
LS_Lab,ns(10),s3d3-s4d1,0.03
LS_Lab,ns(10),s2d5-s3d10,0.05
LS_Lab,ls(100),s1d1-s1d2,0.58
LS_Lab,ls(100),s1d1-s2d1,0.68
LS_Lab,ls(100),s4d8-s2d4,0.5
LS_Lab,ls(100),s3d3-s4d1,0.5
LS_Lab,ls(100),s2d5-s3d10,0.64
LS_Lab,ls(50),s1d1-s1d2,0.61
LS_Lab,ls(50),s1d1-s2d1,0.71
LS_Lab,ls(50),s4d8-s2d4,0.53
LS_Lab,ls(50),s3d3-s4d1,0.53
LS_Lab,ls(50),s2d5-s3d10,0.66
LS_Lab,ls(10),s1d1-s1d2,0.66
LS_Lab,ls(10),s1d1-s2d1,0.76
LS_Lab,ls(10),s4d8-s2d4,0.57
LS_Lab,ls(10),s3d3-s4d1,0.58
LS_Lab,ls(10),s2d5-s3d10,0.71
MultiVI,ns(100),s1d1-s1d2,0.37
MultiVI,ns(100),s1d1-s2d1,0.45
MultiVI,ns(100),s4d8-s2d4,0.37
MultiVI,ns(100),s3d3-s4d1,0.29
MultiVI,ns(100),s2d5-s3d10,0.39
MultiVI,ns(50),s1d1-s1d2,0.29
MultiVI,ns(50),s1d1-s2d1,0.34
MultiVI,ns(50),s4d8-s2d4,0.27
MultiVI,ns(50),s3d3-s4d1,0.19
MultiVI,ns(50),s2d5-s3d10,0.28
MultiVI,ns(10),s1d1-s1d2,0.14
MultiVI,ns(10),s1d1-s2d1,0.17
MultiVI,ns(10),s4d8-s2d4,0.11
MultiVI,ns(10),s3d3-s4d1,0.07
MultiVI,ns(10),s2d5-s3d10,0.12
MultiVI,ls(100),s1d1-s1d2,0.79
MultiVI,ls(100),s1d1-s2d1,0.84
MultiVI,ls(100),s4d8-s2d4,0.85
MultiVI,ls(100),s3d3-s4d1,0.82
MultiVI,ls(100),s2d5-s3d10,0.82
MultiVI,ls(50),s1d1-s1d2,0.82
MultiVI,ls(50),s1d1-s2d1,0.88
MultiVI,ls(50),s4d8-s2d4,0.88
MultiVI,ls(50),s3d3-s4d1,0.84
MultiVI,ls(50),s2d5-s3d10,0.85
MultiVI,ls(10),s1d1-s1d2,0.85
MultiVI,ls(10),s1d1-s2d1,0.92
MultiVI,ls(10),s4d8-s2d4,0.91
MultiVI,ls(10),s3d3-s4d1,0.85
MultiVI,ls(10),s2d5-s3d10,0.88
XChrom,ns(100),s1d1-s1d2,0.24
XChrom,ns(100),s1d1-s2d1,0.34
XChrom,ns(100),s4d8-s2d4,0.26
XChrom,ns(100),s3d3-s4d1,0.23
XChrom,ns(100),s2d5-s3d10,0.25
XChrom,ns(50),s1d1-s1d2,0.18
XChrom,ns(50),s1d1-s2d1,0.25
XChrom,ns(50),s4d8-s2d4,0.18
XChrom,ns(50),s3d3-s4d1,0.15
XChrom,ns(50),s2d5-s3d10,0.17
XChrom,ns(10),s1d1-s1d2,0.08
XChrom,ns(10),s1d1-s2d1,0.12
XChrom,ns(10),s4d8-s2d4,0.07
XChrom,ns(10),s3d3-s4d1,0.05
XChrom,ns(10),s2d5-s3d10,0.07
XChrom,ls(100),s1d1-s1d2,0.68
XChrom,ls(100),s1d1-s2d1,0.78
XChrom,ls(100),s4d8-s2d4,0.77
XChrom,ls(100),s3d3-s4d1,0.71
XChrom,ls(100),s2d5-s3d10,0.67
XChrom,ls(50),s1d1-s1d2,0.71
XChrom,ls(50),s1d1-s2d1,0.82
XChrom,ls(50),s4d8-s2d4,0.8
XChrom,ls(50),s3d3-s4d1,0.73
XChrom,ls(50),s2d5-s3d10,0.7
XChrom,ls(10),s1d1-s1d2,0.76
XChrom,ls(10),s1d1-s2d1,0.86
XChrom,ls(10),s4d8-s2d4,0.84
XChrom,ls(10),s3d3-s4d1,0.76
XChrom,ls(10),s2d5-s3d10,0.75
